学科名称,问题,答案
ai,微调（Fine-tuning）和预训练有什么区别？,"预训练（Pre-training）是在大规模通用语料上训练基础模型，学习语言的通用表示，耗时巨大（数月）且需要大量GPU资源。微调（Fine-tuning）是在预训练模型基础上，使用特定领域的小规模标注数据继续训练，使模型适应特定任务。微调速度快（数小时到数天），数据需求少。LoRA、QLoRA等参数高效微调技术进一步降低了微调门槛。"
ai,什么是注意力机制中的Q、K、V？,"在注意力机制中，Q（Query）、K（Key）、V（Value）是三个核心向量：Query是当前要查询的目标向量（你要找什么），Key是每个位置的索引向量（每个位置的特征标签），Value是每个位置的实际内容向量（实际存储的信息）。计算过程：用Q与所有K计算相似度得分，通过Softmax得到注意力权重，再用权重对V加权求和得到最终输出。这本质上是根据查询条件从多个键值对中检索信息的过程。"
ai,BERT和GPT的核心区别是什么？,"BERT（Bidirectional Encoder Representations from Transformers）使用Transformer的Encoder部分，采用双向注意力机制，通过掩码语言模型（MLM）预训练，擅长文本理解任务（分类、NER、问答）。GPT（Generative Pre-trained Transformer）使用Transformer的Decoder部分，采用单向（因果）注意力机制，通过自回归语言模型预训练，擅长文本生成任务。BERT是理解型，GPT是生成型。"
ai,什么是Tokenizer（分词器）？,"Tokenizer（分词器）是将原始文本转换为模型可处理的数字ID序列的工具。分词方式包括：1）字符级分词（按字符切分）；2）词级分词（按空格和标点切分）；3）子词分词（BPE、WordPiece、SentencePiece），将罕见词拆分为更小的子词单元，平衡了词表大小和语义完整性。子词分词是目前主流方案，GPT使用BPE，BERT使用WordPiece。"
ai,什么是知识图谱？它在AI中如何应用？,"知识图谱（Knowledge Graph）是以图结构表示实体及其关系的知识库，由节点（实体）和边（关系）组成。在AI中的应用包括：1）增强搜索引擎（Google Knowledge Graph）；2）问答系统中提供结构化知识；3）推荐系统中利用实体关系增强推荐效果；4）RAG系统中与向量检索结合，提供更精确的知识检索。GraphRAG技术结合了知识图谱和图数据库来增强RAG的检索质量。"
java,Java中==和equals的区别是什么？,"==用于比较基本数据类型时比较值是否相等，用于比较引用类型时比较内存地址是否相同。equals()是Object类的方法，默认实现也是比较地址，但String、Integer等类重写了equals()方法用于比较内容是否相等。自定义类通常需要重写equals()和hashCode()方法来定义基于业务字段的相等逻辑。"
java,Java中的HashMap实现原理？,"HashMap基于哈希表实现，JDK 8之前采用数组+链表结构，JDK 8及之后优化为数组+链表+红黑树。存储过程：1）计算Key的hashCode；2）通过哈希算法确定数组索引位置；3）如果该位置无元素则直接存入；4）如果已有元素（哈希冲突），通过equals()判断是覆盖还是追加；5）当链表长度超过8且数组长度>=64时，链表转为红黑树提升查询效率。默认负载因子0.75，扩容时容量翻倍。"
java,Spring框架的IOC和AOP分别是什么？,"IOC（Inversion of Control，控制反转）是将对象的创建和管理权从程序代码转移给Spring容器的设计思想。通过依赖注入（DI）实现，Spring容器负责创建Bean并注入依赖。AOP（Aspect-Oriented Programming，面向切面编程）是将横切关注点（如日志、事务、安全）从业务逻辑中分离的技术。Spring AOP通过动态代理实现，JDK动态代理用于接口代理，CGLIB代理用于类代理。"
java,JVM内存模型包含哪些区域？,"JVM内存主要分为：1）堆（Heap）：存储对象实例和数组，是GC的主要区域，分为年轻代（Eden、Survivor0、Survivor1）和老年代；2）方法区（Method Area）：存储类信息、常量、静态变量（JDK8后由元空间Metaspace替代，使用本地内存）；3）虚拟机栈（VM Stack）：每个线程私有，存储栈帧（局部变量表、操作数栈等）；4）本地方法栈：为Native方法服务；5）程序计数器：记录当前线程执行位置。"
java,什么是Java垃圾回收机制？,"Java GC（Garbage Collection）自动回收不再被引用的对象内存。判断对象是否存活使用可达性分析算法：从GC Roots（栈引用、静态变量等）出发，不可达的对象判定为可回收。常用GC算法：标记-清除（产生碎片）、标记-整理（无碎片但耗时）、复制算法（年轻代使用）。主流垃圾收集器：Serial（单线程）、Parallel（吞吐量优先）、CMS（低延迟）、G1（平衡吞吐量和延迟，JDK9+默认）、ZGC（超低延迟，JDK15+）。"
java,Spring Boot的自动配置原理是什么？,"Spring Boot自动配置基于@EnableAutoConfiguration注解实现。核心机制：1）@SpringBootApplication包含@EnableAutoConfiguration；2）通过AutoConfigurationImportSelector加载META-INF/spring.factories中的自动配置类；3）每个自动配置类使用@Conditional系列注解（如@ConditionalOnClass、@ConditionalOnMissingBean）进行条件判断；4）仅当条件满足时才创建对应的Bean。自动配置简化了Spring应用的搭建过程。"
java,Java中synchronized和Lock的区别？,"synchronized是JVM层面的关键字，自动获取和释放锁，使用简单但功能有限，不支持超时、中断和公平锁。Lock是JDK层面的接口（如ReentrantLock），需要手动lock()和unlock()，使用更灵活：支持尝试获取锁（tryLock）、可中断获取锁（lockInterruptibly）、公平锁模式；支持多个条件变量Condition。synchronized在JDK6之后经过锁升级优化（偏向锁->轻量级锁->重量级锁），性能已大幅提升。"
java,如何设计一个线程安全的单例模式？,"推荐使用双重检查锁定（DCL）+ volatile的实现：volatile保证实例的可见性和禁止指令重排；第一次null检查避免不必要的同步；synchronized块保证只有一个线程创建实例；第二次null检查防止重复创建。JDK5+版本这种方式是安全的。更简洁的方法是使用枚举实现单例（Enum Singleton），JVM保证枚举实例的线程安全和反序列化安全。或使用静态内部类方式利用类加载机制保证单例。"
java,MyBatis中#和$有什么区别？,"#{}是预编译占位符，MyBatis会将SQL中的#{}替换为?，然后通过PreparedStatement设置参数值。这种方式可以防止SQL注入，类型安全。${}是字符串替换，MyBatis直接将${}的内容拼接到SQL语句中。存在SQL注入风险，通常只用于动态表名、列名、ORDER BY等无法使用预编译的场景。任何时候能用#{}都应该优先使用#{}。"
java,什么是Java并发编程中的CAS？,"CAS（Compare And Swap，比较并交换）是一种无锁并发算法，包含三个操作数：内存位置V、预期值A、新值B。当V的值等于A时，将V更新为B；否则不更新。CAS由CPU的原子指令（如cmpxchg）实现，是Java并发包（java.util.concurrent）中AtomicInteger、AtomicReference等原子类的基础。CAS存在ABA问题（值从A变B再变回A），可通过版本号（AtomicStampedReference）解决。"
test,什么是黑盒测试和白盒测试？,"黑盒测试不考虑程序内部结构和逻辑，只关注输入和输出是否符合需求规格说明。测试人员不需要了解代码实现。常用方法：等价类划分、边界值分析、决策表、状态转换。白盒测试基于代码内部逻辑结构设计测试用例，需要了解程序实现。关注代码覆盖率（语句覆盖、分支覆盖、路径覆盖）。在实际项目中，通常两种方法结合使用以达到最佳测试效果。"
test,软件测试的生命周期包括哪些阶段？,"软件测试生命周期（STLC）包括六个主要阶段：1）需求分析：理解测试需求，识别可测试性；2）测试计划：制定测试策略、资源分配和时间安排；3）测试用例设计：编写详细的测试用例和测试数据；4）测试环境搭建：准备硬件、软件和测试数据；5）测试执行：按照测试用例执行测试，记录结果和缺陷；6）测试总结：编写测试报告，评估产品质量和测试覆盖率。"
test,什么是自动化测试？什么时候适合做自动化？,"自动化测试是使用脚本和工具代替人工执行测试用例的过程。适合自动化的场景：1）回归测试（重复执行的测试用例）；2）数据驱动测试（多组数据验证同一逻辑）；3）性能测试和负载测试；4）API接口测试。不适合自动化的场景：1）只执行一两次的测试；2）需求频繁变化的功能；3）需要大量人工判断的UI和用户体验测试；4）自动化成本高于手工执行成本的情况。"
test,什么是等价类划分和边界值分析？,"等价类划分是将输入域划分为若干等价子集，每个子集中任意一个值作为测试数据都能代表该子集中所有值的测试效果。分为有效等价类和无效等价类。边界值分析是对输入和输出边界值进行测试的方法。因为大多数Bug出现在边界附近（如最小值、最大值、刚好超出边界的值）。通常将等价类划分与边界值分析结合使用，对每个等价类的边界值设计测试用例。"
test,Selenium中常用的元素定位方式有哪些？,"Selenium WebDriver提供8种元素定位方式：1）By.id：通过元素id属性定位，最可靠最快；2）By.name：通过name属性定位；3）By.className：通过class属性定位；4）By.tagName：通过标签名定位；5）By.linkText：通过完整的超链接文字定位；6）By.partialLinkText：通过部分超链接文字定位；7）By.cssSelector：使用CSS选择器语法定位，推荐优先使用；8）By.xpath：使用XPath表达式定位，最灵活但最慢。推荐优先级：id > name > cssSelector > xpath。"
test,什么是回归测试？如何进行回归测试？,"回归测试是在代码修改后，重新执行原有测试用例以确认修改没有引入新Bug的测试活动。进行回归测试的方法：1）自动化回归测试：将稳定的测试用例自动化，每次代码变更后自动执行；2）选择性回归测试：基于变更影响分析，只执行受影响的测试用例；3）完整回归测试：在重大版本发布前执行全部测试用例。在CI/CD流水线中，回归测试应自动触发，快速反馈。"
test,JMeter如何进行性能测试？,"使用JMeter进行性能测试的步骤：1）创建测试计划，添加线程组（设置并发用户数、循环次数）；2）添加HTTP请求默认值（设置服务器地址和端口）；3）添加HTTP请求取样器（设置请求路径、方法、参数）；4）添加监听器（如聚合报告、查看结果树、图形结果）；5）添加断言检查响应正确性；6）运行测试并分析结果，关注平均响应时间、中位数、90%/95%/99%百分位响应时间、TPS、错误率等指标。"
test,什么是持续集成中的测试策略？,"持续集成中的测试策略应遵循测试金字塔原则：底层是大量快速执行的单元测试（占70-80%），保证代码逻辑正确；中层是集成测试和API测试（占15-20%），验证模块间交互和接口契约；顶层是少量UI/E2E测试（占5-10%），验证关键业务流程。测试执行顺序：代码提交 -> 单元测试（<5分钟） -> 集成测试 -> E2E测试 -> 部署。任何阶段失败都应阻止后续流程。"
test,缺陷的生命周期是怎样的？,"缺陷（Bug）在管理工具中经历以下状态流转：1）新建（New）：测试人员发现并提交Bug；2）确认（Confirmed）：测试经理或开发确认Bug有效；3）分配（Assigned）：将Bug分配给对应开发人员；4）修复中（In Progress）：开发正在修复；5）已修复（Fixed）：开发完成修复等待验证；6）已验证（Verified）：测试验证修复通过；7）关闭（Closed）：Bug生命周期结束。如果修复不通过，Bug重新打开（Reopened）。"
test,什么是测试左移和测试右移？,"测试左移（Shift Left）是将测试活动提前到开发早期阶段，在需求和设计阶段就介入测试。实践包括：需求评审中识别可测试性问题、开发阶段编写单元测试、代码审查中加入测试视角。测试右移（Shift Right）是在生产环境中持续进行测试和监控。实践包括：A/B测试、金丝雀发布、混沌工程、生产环境监控告警。左移和右移结合形成全生命周期质量保障体系。"
ops,Docker的镜像、容器、仓库分别是什么？,"镜像（Image）是Docker的只读模板，包含运行应用所需的文件系统、依赖和配置。镜像采用分层存储，每层只记录与上一层的差异。容器（Container）是镜像的运行实例，拥有独立的进程空间、网络和文件系统。每个容器在镜像层之上有一个可写层。仓库（Registry）是存储和分发镜像的服务，Docker Hub是最知名的公共仓库，企业可自建私有仓库（如Harbor）。"
ops,Kubernetes中的Pod是什么？,"Pod是Kubernetes中最小的部署和调度单元，是一个或多个容器的组合。同一Pod内的容器共享网络命名空间（同一IP地址和端口空间）、IPC命名空间和存储卷。通常一个Pod运行一个主容器（业务应用），可附带Sidecar容器（如日志采集、服务网格代理）。Pod是临时的，可由Deployment、StatefulSet等工作负载控制器管理其生命周期。"
ops,什么是CI/CD？,"CI/CD（持续集成/持续交付/持续部署）是现代软件开发的核心实践。持续集成（CI）指开发人员频繁将代码合并到主干，每次合并自动触发构建和测试。持续交付（CD）指代码始终处于可部署状态，通过自动化测试后可随时手动部署到生产环境。持续部署（CD）进一步自动化，通过所有测试后自动部署到生产环境无需人工干预。CI/CD流水线的核心价值是快速反馈、减少集成风险和加速交付。"
ops,Dockerfile中COPY和ADD的区别是什么？,"COPY指令只将本地文件复制到容器内的目标路径，功能单一但符合最小化原则。ADD指令除了复制功能外，还有两个额外功能：1）源路径是URL时会自动下载文件到容器；2）源文件是tar压缩包时会自动解压到目标路径。最佳实践：优先使用COPY，只有当需要自动解压tar文件时才使用ADD。避免使用ADD下载URL文件，应改用RUN curl或RUN wget。"
ops,Kubernetes Service有哪几种类型？,"Kubernetes Service主要有四种类型：1）ClusterIP（默认）：仅在集群内部可访问，分配虚拟IP，通过kube-proxy实现负载均衡；2）NodePort：在每个节点上开放静态端口（30000-32767），外部可通过NodeIP:NodePort访问；3）LoadBalancer：通过云提供商的负载均衡器暴露服务，分配外部IP；4）ExternalName：将Service映射到外部DNS名称，用于访问集群外服务。Ingress是七层负载均衡，用于HTTP/HTTPS路由。"
ops,Prometheus监控体系的核心组件有哪些？,"Prometheus监控体系包含：1）Prometheus Server：核心组件，通过Pull方式从Target采集指标，存储时序数据，提供PromQL查询语言；2）Exporter：将各种系统/应用的指标暴露为Prometheus可采集的格式（如Node Exporter采集主机指标，MySQL Exporter采集数据库指标）；3）Alertmanager：处理告警，支持分组、抑制、静默和路由；4）Grafana：可视化看板工具，通过PromQL查询Prometheus数据展示图表。"
ops,Jenkins Pipeline的基本语法是什么？,"Jenkins Pipeline使用Groovy DSL定义，分为声明式（Declarative）和脚本式（Scripted）两种。声明式Pipeline以pipeline块包裹，包含agent（执行节点）、stages（阶段集合）、stage（单个阶段）、steps（具体步骤）等指令。通常将Pipeline脚本存储在项目根目录的Jenkinsfile中，实现Pipeline as Code。Jenkins还支持Shared Library将公共逻辑抽取为可复用函数。"
ops,Linux系统中如何排查CPU使用率高的问题？,"排查步骤如下：1）使用top命令查看整体CPU使用率和load average；2）按P键按CPU排序，找到CPU占用最高的进程PID；3）使用top -H -p PID查看该进程中各线程的CPU占用；4）使用jstack PID | grep tid查看高CPU线程的堆栈（tid需转换为十六进制）；5）分析堆栈定位到具体代码位置。辅助工具：vmstat查看上下文切换、mpstat查看各CPU核心使用分布、perf进行性能采样分析。"
ops,什么是基础设施即代码（IaC）？,"基础设施即代码（IaC）是通过机器可读的配置文件（而非手动操作）来管理和配置IT基础设施的实践。核心思想是将基础设施配置版本化、自动化，像管理应用代码一样管理服务器、网络等资源。主要工具有：Terraform（多云编排，使用HCL语言）、Ansible（配置管理，使用YAML）、Pulumi（使用通用编程语言）。IaC的优势包括环境一致性、快速复制环境、变更可追溯和回滚。"
ops,Nginx反向代理和正向代理的区别？,"正向代理代理的是客户端，服务器不知道真正的客户端是谁。典型应用场景：科学上网（客户端通过代理访问境外服务器）、企业内网访问控制。反向代理代理的是服务器端，客户端不知道真正的服务器是谁。典型应用场景：负载均衡（将请求分发到多台服务器）、SSL终止（统一处理HTTPS加解密）、缓存加速、安全防护。Nginx是最常用的反向代理服务器。"
bigdata,Hadoop的核心组件有哪些？,"Hadoop核心组件包括：1）HDFS（分布式文件系统）：NameNode管理元数据，DataNode存储数据块，默认128MB块大小，3副本冗余；2）MapReduce（分布式计算框架）：Map阶段并行处理数据分片，Shuffle阶段按key排序和分发，Reduce阶段聚合计算；3）YARN（资源管理器）：ResourceManager全局调度，NodeManager节点资源管理，ApplicationMaster管理单个应用。三者构成了大数据存储和计算的基础。"
bigdata,Spark的RDD是什么？有什么特点？,"RDD（Resilient Distributed Dataset，弹性分布式数据集）是Spark的核心数据抽象。特点：1）不可变性：创建后不能修改，只能通过转换生成新RDD；2）分区性：数据跨集群节点分布存储；3）容错性：通过Lineage（血统）记录依赖关系，分区丢失时自动重新计算；4）惰性计算：Transformation操作不会立即执行，遇到Action才触发计算。RDD的这些特性使得Spark能够高效地进行分布式内存计算。"
bigdata,Kafka如何保证消息不丢失？,"Kafka通过以下机制保证消息不丢失：1）Producer端设置acks=all，确保所有ISR副本确认后才认为发送成功；2）Broker端设置min.insync.replicas >= 2，确保最少同步副本数；3）Broker端设置unclean.leader.election.enable=false，防止落后副本成为Leader导致数据丢失；4）Consumer端在业务处理完成后手动提交Offset，避免自动提交导致的消息丢失。"
bigdata,Flink的Checkpoint机制是如何工作的？,"Flink的Checkpoint基于Chandy-Lamport分布式快照算法：1）JobManager触发Checkpoint，向Source发送Barrier；2）Barrier沿数据流向下游传播，到达每个算子时触发状态快照；3）算子完成快照后向JobManager确认；4）所有算子完成后该Checkpoint完成。精确一次（Exactly-Once）语义通过Barrier对齐实现：算子等待所有上游输入的Barrier到达后才进行快照。结合2PC（二阶段提交）实现Sink端的端到端Exactly-Once。"
bigdata,数据仓库的分层架构是怎样的？,"典型的数据仓库分层包括：1）ODS层（操作数据层）：存储原始数据，保持数据原貌；2）DWD层（明细数据层）：数据清洗、标准化、维度退化，保留最细粒度；3）DWS层（汇总数据层）：按主题和维度进行轻度汇总，构建宽表；4）ADS层（应用数据层）：面向具体业务场景的指标和报表数据。分层的好处是：数据结构清晰、血缘追踪容易、减少重复开发、变更影响隔离。"
bigdata,什么是数据倾斜？如何解决Spark中的数据倾斜？,"数据倾斜是指在分布式计算中，部分节点处理的数据量远大于其他节点，导致整体计算时间由最慢的节点决定。Spark中解决数据倾斜的方法：1）加盐法：给倾斜的Key添加随机前缀，分成多个虚拟Key分散到不同分区；2）广播Join：当一个大表和一个足够小的小表Join时，将小表广播到每个Executor避免Shuffle；3）自定义分区器：根据数据分布特点设计分区策略；4）将Shuffle操作替换为Map-side操作。"
bigdata,Hive的内部表和外部表有什么区别？,"内部表（Managed Table）由Hive管理数据生命周期，数据默认存储在Hive的数据仓库目录下。删除内部表时，元数据和HDFS上的数据都会被删除。外部表（External Table）只由Hive管理元数据，实际数据可以位于任意HDFS路径。删除外部表时，只删除元数据，HDFS上的数据保留。外部表适合数据被多个工具共享的场景，也避免了误删数据。生产环境中通常推荐使用外部表。"
bigdata,什么是流处理和批处理？Flink如何统一两者？,"批处理是处理有界数据集（已知大小、完整的数据集），关注吞吐量，延迟通常在分钟到小时级别。流处理是处理无界数据流（持续产生、永不停止），关注低延迟，延迟通常在毫秒到秒级别。Flink通过将批处理视为有界流处理的特殊情况来统一两者：DataStream API用于无界流，DataSet API用于有界批，Flink SQL和Table API则完全统一了流批处理的API和语义。"
bigdata,Kafka消费者组的工作原理是什么？,"消费者组（Consumer Group）是Kafka实现消息并行消费的核心机制：1）一个Topic的每个Partition只能被组内一个Consumer消费，保证分区内消息顺序；2）Consumer数量大于Partition数量时会有Consumer空闲；3）Consumer数量增加或减少时会触发Rebalance，暂停消费重新分配分区；4）每个Consumer通过__consumer_offsets内部Topic记录消费位置。合理设置Partition数量等于或略大于预期最大Consumer数量。"
bigdata,什么是数据湖？与数据仓库有什么区别？,"数据湖（Data Lake）是存储原始格式海量数据的集中式存储库，接受结构化、半结构化和非结构化数据。与数据仓库的区别：1）数据湖存储原始数据（Schema-on-Read），数据仓库存储处理后数据（Schema-on-Write）；2）数据湖支持多种数据格式和分析引擎，灵活性更高；3）数据仓库适合BI报表和固定业务场景，数据湖适合数据科学和探索性分析。新技术如Hudi、Iceberg、Delta Lake融合了数据湖和数据仓库的优势，形成湖仓一体架构。"
